date,advancing_stocks,declining_stocks,total_stocks,URSI
2019-06-07,133,23,183,85.25641025641025
2019-06-10,86,58,183,59.72222222222222
2019-06-11,71,72,183,49.65034965034965
2019-06-12,44,108,183,28.947368421052634
2019-06-13,59,82,183,41.843971631205676
2019-06-14,57,77,183,42.53731343283582
2019-06-17,44,97,183,31.20567375886525
2019-06-18,58,92,183,38.666666666666664
2019-06-19,97,44,183,68.79432624113475
2019-06-20,102,54,183,65.38461538461539
2019-06-21,64,80,183,44.44444444444444
2019-06-24,57,97,183,37.01298701298701
2019-06-25,54,100,183,35.064935064935064
2019-06-26,74,86,183,46.25
2019-06-27,40,118,183,25.31645569620253
2019-06-28,99,55,183,64.28571428571429
2019-07-01,115,41,183,73.71794871794873
2019-07-02,57,88,183,39.310344827586206
2019-07-03,68,80,183,45.94594594594595
2019-07-04,103,43,183,70.54794520547945
2019-07-05,81,69,183,54.0
2019-07-08,38,108,183,26.027397260273972
2019-07-09,91,61,183,59.86842105263158
2019-07-10,93,54,183,63.26530612244898
2019-07-11,87,64,183,57.615894039735096
2019-07-12,64,85,183,42.95302013422819
2019-07-15,66,75,183,46.808510638297875
2019-07-16,73,71,183,50.69444444444444
2019-07-17,70,72,183,49.29577464788733
2019-07-18,48,89,182,35.03649635036496
2019-07-19,75,71,182,51.369863013698634
2019-07-22,52,107,182,32.70440251572327
2019-07-23,79,69,182,53.37837837837838
2019-07-24,65,86,182,43.04635761589404
2019-07-25,80,73,182,52.28758169934641
2019-07-26,50,93,183,34.96503496503497
2019-07-29,52,96,183,35.13513513513514
2019-07-30,27,122,183,18.120805369127517
2019-07-31,78,78,183,50.0
2019-08-01,84,73,183,53.503184713375795
2019-08-02,73,83,183,46.794871794871796
2019-08-05,53,103,183,33.97435897435898
2019-08-06,44,117,183,27.32919254658385
2019-08-07,67,84,183,44.370860927152314
2019-08-08,102,51,183,66.66666666666666
2019-08-09,80,62,183,56.33802816901409
2019-08-12,67,74,183,47.5177304964539
2019-08-13,33,119,183,21.710526315789476
2019-08-14,71,71,183,50.0
2019-08-15,69,86,183,44.516129032258064
2019-08-16,82,65,183,55.78231292517006
2019-08-19,76,70,183,52.054794520547944
2019-08-20,81,67,183,54.729729729729726
2019-08-21,66,84,183,44.0
2019-08-22,65,76,183,46.09929078014184
2019-08-23,53,102,183,34.193548387096776
2019-08-26,40,115,183,25.806451612903224
2019-08-27,69,76,183,47.58620689655172
2019-08-28,61,92,183,39.869281045751634
2019-08-29,69,77,183,47.26027397260274
2019-08-30,97,54,183,64.23841059602648
2019-09-03,26,127,183,16.99346405228758
2019-09-04,55,99,183,35.714285714285715
2019-09-05,57,84,183,40.42553191489361
